product_name,brand,calories,fat,sugar,salt,protein,fiber,carbs
Kellogg's Corn Flakes,Kellogg's,370,1,8,1.2,8,3,84
Kellogg's Muesli Fruit & Nut,Kellogg's,400,10,18,0.2,9,8,72
Kellogg's Oats,Kellogg's,380,7,1,0.05,13,10,68
Kitkat mini chocolate coated wafer,KitKat,438,24.8,35.1,0.2435,6.4,0,47.4
Chilli Chatka 20rs,Kurkure,562,35.1,2,1.8075,5.6,,55.8
Green chutney style,Kurkure,561,34.7,2.1,2.3975,5.9,,56.3
Kurkure,Kurkure,557,33.7,2.2,1.99,6,0,57.7
Masala Munch,Kurkure,558,34.7,1,2.23,6.4,0,55.2
Puffcorn,Kurkure,536,27.1,4.5,1.925,6.4,,66.5
American Style Cream & Onion 10rs,Lay's,537,33.1,3.4,1.6075,6.7,,53
Lay's Potato Chips,Lay's,538.982,33.1,2.5,2.065,6.9,,53.4
Lays Classics Salted 20rs,Lay's,554,35.5,2.6,0.51,7,0,51.7
masala,Lay's,539,33.1,2.5,2.065,6.9,,53.4
West Indies' Hot 'n' Sweet Chilli Potato Chips,Lay's,534,31.9,,,6.3,,55.4
Yellow Salted Lays,Lays,553,35.1,0.6,,6.7,,52.6
Lotte Choco Pie,Lotte,433,17,37,0.625,4,,66
Fruit drink,Maaza,44,0,10.7,0.0221,0,,11
Malkist Cheese Flavoured Crunchy Layered Cracker Biscuits,Mayora,491,22.8,32.3,1.3575,7.7,,63.7
KitKat,nestle,436.364,24.9351,35.3247,0.244156,6.23377,,47.7922
Maggi 2-Minute Noodles Chicken Flavor,Nestle,440,17,5,3.8,9,2,63
Maggi Atta Noodles,Nestle,410,14,4,3.3,10,3,62
Maggi Masala Noodles,Nestle,435,16,5,3.6,9,2,64
Maggi noodles,Nestle,430,15,4,3.5,9,2,65
Nestle MILKYBAR,Nestle,540,30,55,0.2,6,0,60
Nestle MUNCH Wafer,Nestle,520,28,45,0.3,6,1,64
Parle Hide & Seek Chocolate,Nestle,510,24,30,0.6,6,2,63
Munch Max,Nestlé,430,23.2,34.3,0.21575,5.6,,49.8
